title,content,category,tags
7天无理由退货,"自商品签收次日起7天内，在商品不影响二次销售（包装完好、配件齐全、未洗涤未使用）的前提下，可申请无理由退货。生鲜、定制、贴身衣物、已拆封的数码软件等特殊商品不支持无理由退货，具体以商品详情页标注为准。",退换货,退货;无理由;7天
退货操作流程,"申请退货请进入「我的订单」→ 找到对应订单 → 点击「申请退款/退货」→ 选择退货原因并提交 → 按页面提示填写退货物流单号。审核通过后，请将商品寄回到页面显示的退货地址，我们收到并验收后为你退款。",退换货,退货;流程;操作
退款到账时间,"退款审核通过后，款项将按原支付方式原路退回：微信/支付宝一般1-3个工作日到账，银行卡3-7个工作日到账，信用卡可能需要1个账单周期。若超时未到账，请提供订单号联系人工客服核查。",退换货,退款;到账;时效
换货政策,"如商品存在质量问题或发错货，可在签收7天内申请换货，换货运费由我方承担。非质量问题的换货（如尺码/颜色不合适），需买家承担来回运费，且换货商品需有库存。请在申请时备注需要更换的规格。",退换货,换货;质量;尺码
退货运费谁承担,"因商品质量问题、发错货、漏发等我方原因产生的退货，运费由我方承担（可申请运费补偿或使用运费险）。买家个人原因（不喜欢、拍错、尺码不合）退货，运费由买家承担。下单时购买了运费险的订单，退货运费由保险公司按约定赔付。",退换货,运费;运费险;退货
错误码E1001,"提交退货时如提示错误码 E1001，表示该订单已超过可申请退货的时效（签收满7天）。超时订单无法在线自助申请，请联系人工客服说明情况，我们将根据具体情况协助处理。",退换货,错误码;E1001;超时
发货时效,"现货商品在付款后48小时内（节假日顺延）安排发出；预售商品的发货时间以商品页标注为准。下单后如需修改收货地址，请在发货前尽快联系客服，已发货订单无法修改地址。",物流配送,发货;时效;预售
物流查询,"商品发货后，可在「我的订单」→ 订单详情页查看物流单号，点击单号即可跳转快递官网实时跟踪。一般快递时效为2-5天，偏远地区可能延迟。若物流长时间无更新，请联系客服帮你催查。",物流配送,物流;快递;单号
配送范围,"我们支持全国大陆地区配送（港澳台及海外暂不支持）。部分偏远地区（如新疆、西藏、内蒙古部分区域）可能需要额外运费或延长时效，下单时系统会自动提示。",物流配送,配送;范围;偏远
运费规则,"全场满99元包邮，未满99元收取8元运费。偏远地区运费另计，以结算页显示为准。黄金会员享全场免运费特权。",物流配送,运费;包邮;会员
支持的支付方式,"目前支持微信支付、支付宝、银行卡（储蓄卡/信用卡）以及账户余额支付。暂不支持货到付款。企业采购可联系客服开通对公转账。",支付结算,支付;微信;支付宝
支付失败怎么办,"支付失败常见原因：余额不足、银行卡限额、网络超时、风控拦截。建议更换支付方式或稍后重试；若已扣款但订单显示未支付，款项一般会在24小时内自动退回，如未退回请联系客服并提供支付凭证。",支付结算,支付失败;扣款;退回
发票申请,"下单后可在订单详情页申请开具电子发票，支持个人和企业抬头，企业抬头需填写税号。电子发票将在确认收货后3个工作日内开具并发送到你填写的邮箱。如需纸质专用发票，请联系人工客服。",发票,发票;开票;电子发票
会员等级与权益,"会员分为普通会员、白银会员、黄金会员。黄金会员享受全场免运费、专属客服优先接待、生日礼券、积分翻倍、新品优先购等权益。等级根据近12个月累计消费金额自动评定。",会员积分,会员;等级;权益;黄金会员
积分规则,"每消费1元累计1积分，积分可在结算时抵扣（100积分=1元），单笔最高抵扣订单金额的50%。积分有效期为自获得之日起24个月，过期未使用将自动清零。退款订单对应的积分会相应扣回。",会员积分,积分;抵扣;有效期
优惠券使用规则,"优惠券可在结算页选择使用，每单限用一张，不可与其他券叠加，部分券有最低消费门槛和指定品类限制。优惠券有有效期，过期作废。若订单发生退款，已使用的优惠券一般不予退还。",优惠活动,优惠券;使用;叠加
忘记密码,"在登录页点击「忘记密码」，通过注册手机号或邮箱接收验证码即可重置密码。若手机号已停用无法接收验证码，请联系人工客服并提供身份信息进行账户申诉。",账户安全,密码;重置;申诉
账号注销,"如需注销账号，请联系人工客服核验身份后处理。注销前请确保没有进行中的订单和未使用的余额/优惠券，账号注销后所有数据将按《隐私政策》规定清除且不可恢复。",账户安全,注销;账号;隐私
修改绑定手机号,"修改绑定手机号需通过原手机号验证；若原手机号已停用，请联系人工客服提交身份证明进行更换。为保障账户安全，更换手机号后部分敏感操作会有短暂的安全限制。",账户安全,手机号;绑定;修改
商品质量问题,"收到商品如存在质量问题（破损、瑕疵、功能故障等），请在签收后尽快拍照/录视频留证并联系客服，我们将为你安排退换货或补偿，质量问题产生的运费由我方承担。请勿自行拆解维修，以免影响售后判定。",售后保障,质量;售后;留证
保修政策,"商品保修以厂家保修政策为准，一般电子类商品提供1年质保。保修期内非人为损坏的故障可免费维修或更换，人为损坏（进水、摔坏、私拆）不在免费保修范围。保修需提供购买凭证。",售后保障,保修;质保;维修
价格保护,"购买后若商品在7天内官方降价（不含限时秒杀、定金膨胀、优惠券等活动价），可申请一次价格保护，补退差价。申请请在降价后7天内联系客服并提供订单号。",售后保障,价保;差价;降价
预约/取消订单,"未付款订单可直接在「我的订单」中取消；已付款未发货订单可申请取消并退款；已发货订单需走退货流程。秒杀、定金预售等特殊订单的取消规则以活动页说明为准。",其他,取消;订单;退款
人工客服时间,"在线人工客服服务时间为每天9:00-21:00。非服务时间你可以留言或使用智能客服，我们会在上班后第一时间跟进。紧急问题可拨打客服热线400-000-0000。",其他,人工;客服;时间
开箱验货,"建议收到包裹后当面验货，尤其是易碎、贵重商品。若发现外包装严重破损或商品短少，可拒收并联系客服；已签收后发现问题的，请保留外包装并在24小时内联系客服处理。",售后保障,验货;签收;破损
